Date,Days between,DaysBetween,status ,colour1,DayExp,SwarmNo,Sex,swarm
June 8 2020,0.00,2.00,1.00,yellow,1,1,f,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,f,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,f,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,f,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,m,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,m,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,m,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,m,pm
June 8 2020,0.00,0.00,0.00,yellow,1,1,m,pm
June 9 2020,0.00,2.00,1.00,green,2,2,f,pm
June 9 2020,0.00,2.00,1.00,green,2,2,f,pm
June 9 2020,0.00,2.00,1.00,green,2,2,f,pm
June 9 2020,0.00,7.00,1.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,0.00,0.00,green,2,2,f,pm
June 9 2020,0.00,7.00,1.00,green,2,2,m,pm
June 9 2020,0.00,7.00,1.00,green,2,2,m,pm
June 9 2020,0.00,7.00,1.00,green,2,2,m,pm
June 9 2020,0.00,7.00,1.00,green,2,2,m,pm
June 9 2020,0.00,7.00,1.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 9 2020,0.00,0.00,0.00,green,2,2,m,pm
June 10 2020,0.00,5.00,1.00,blue,3,3,f,pm
June 10 2020,0.00,6.00,1.00,blue,3,3,f,pm
June 10 2020,0.00,6.00,1.00,blue,3,3,f,pm
June 10 2020,0.00,6.00,1.00,blue,3,3,f,pm
June 10 2020,0.00,6.00,1.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,f,pm
June 10 2020,0.00,5.00,1.00,blue,3,3,m,pm
June 10 2020,0.00,5.00,1.00,blue,3,3,m,pm
June 10 2020,0.00,6.00,1.00,blue,3,3,m,pm
June 10 2020,0.00,6.00,1.00,blue,3,3,m,pm
June 10 2020,0.00,7.00,1.00,blue,3,3,m,pm
June 10 2020,0.00,8.00,1.00,blue,3,3,m,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,m,pm
June 10 2020,0.00,0.00,0.00,blue,3,3,m,pm
June 11 2020,0.00,5.00,1.00,gold,4,4,m,am
June 11 2020,0.00,0.00,0.00,gold,4,4,m,am
June 11 2020,0.00,0.00,0.00,gold,4,4,m,am
June 11 2020,0.00,0.00,0.00,gold,4,4,m,am
June 11 2020,0.00,5.00,1.00,gold,4,4,f,am
June 11 2020,0.00,6.00,1.00,gold,4,4,f,am
June 11 2020,0.00,4.00,1.00,pink,4,5,f,pm
June 11 2020,0.00,5.00,1.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,f,pm
June 11 2020,0.00,7.00,1.00,pink,4,5,m,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,m,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,m,pm
June 11 2020,0.00,0.00,0.00,pink,4,5,m,pm
June 12 2020,0.00,0.00,0.00,brown,5,6,f,pm
June 12 2020,0.00,0.00,0.00,brown,5,6,f,pm
June 12 2020,0.00,0.00,0.00,brown,5,6,m,pm
June 12 2020,0.00,0.00,0.00,brown,5,6,m,pm
June 12 2020,0.00,0.00,0.00,brown,5,6,m,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,f,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,f,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,f,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,f,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,m,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,m,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,m,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,m,pm
June 13 2020,0.00,0.00,0.00,purple,6,7,m,pm
June 14 2020,0.00,2.00,1.00,red,7,8,f,pm
June 14 2020,0.00,2.00,1.00,red,7,8,f,pm
June 14 2020,0.00,3.00,1.00,red,7,8,f,pm
June 14 2020,0.00,4.00,1.00,red,7,8,f,pm
June 14 2020,0.00,4.00,1.00,red,7,8,f,pm
June 14 2020,0.00,0.00,0.00,red,7,8,f,pm
June 14 2020,0.00,0.00,0.00,red,7,8,f,pm
June 14 2020,0.00,2.00,1.00,red,7,8,m,pm
June 14 2020,0.00,2.00,1.00,red,7,8,m,pm
June 14 2020,0.00,3.00,1.00,red,7,8,m,pm
June 14 2020,0.00,0.00,0.00,red,7,8,m,pm
June 14 2020,0.00,0.00,0.00,red,7,8,m,pm
June 14 2020,0.00,0.00,0.00,red,7,8,m,pm
June 14 2020,0.00,0.00,0.00,red,7,8,m,pm
June 14 2020,0.00,0.00,0.00,red,7,8,m,pm
June 15 2020,0.00,2.00,1.00,silver,8,9,f,pm
June 15 2020,0.00,3.00,1.00,silver,8,9,f,pm
June 15 2020,0.00,3.00,1.00,silver,8,9,f,pm
June 15 2020,0.00,3.00,1.00,silver,8,9,f,pm
June 15 2020,0.00,4.00,1.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,0.00,0.00,silver,8,9,f,pm
June 15 2020,0.00,2.00,1.00,silver,8,9,m,pm
